Textfile,Determination_Year,Sub_Header,Sub_Section,Cond_Category,EScore
/home/admin/dockers/masters/data/pdfminer/search/MP05_0021-Mod-4.txt,2012,Cumbo Creek Relocation,Within one month of completing the construction of the Cumbo Creek relocation the Proponent shall submit an asexecuted report certified by a practising registered engineer to the DirectorGeneral.  ,1,0.665
/home/admin/dockers/masters/data/pdfminer/search/MP10_0059-Mod-1.txt,2012,Surface Water Discharges, The Proponent shall ensure that all surface water discharges from the site comply with the discharge limits both volume and quality set for the project in any EPL.  ,1,0.855
/home/admin/dockers/masters/data/pdfminer/search/MP08_0102-Mod-3.txt,2012,Creek Diversions for the Underground Project, The Proponent shall carry out the proposed diversions of Bettys Creek and Main Creek in the underground project area to the satisfaction of the DirectorGeneral.  ,1,0.4275
/home/admin/dockers/masters/data/pdfminer/search/MP08_0102-Mod-3.txt,2012,Creek Diversions for the Underground Project,Within 6 months of completing the construction of the diversions the Proponent shall submit an asexecuted report certified by a practising engineer to the DirectorGeneral and NOW.  ,1,0.665
/home/admin/dockers/masters/data/pdfminer/search/MP10_0138.txt,2012,Surface Water Discharges,The Proponent shall ensure that any surface water discharges of mine water from the site a are of equal or better quality than the receiving waters and       b comply with the discharge limits both volume and quality set for the project in any EPL. ,1,0.855
/home/admin/dockers/masters/data/pdfminer/search/MP06_0311-Mod-1.txt,2012,Discharge, The Proponent shall only discharge water from the site as expressly provided for by its EPL.  ,1,0.855
/home/admin/dockers/masters/data/pdfminer/search/MP06_0311-Mod-1.txt,2012,Discharge,The Proponent shall investigate assess and report on the ecological interactions of minewater discharged from the site with the aquatic ecology of the unnamed creek and wetlands and associated vegetation between the minewater discharge points and Lake Macquarie. ,1,0.665
/home/admin/dockers/masters/data/pdfminer/search/DA309-11-2001-I-Mod-8.txt,2012,Baseflow Offsets, The Applicant shall offset the loss of any baseflow to the surrounding watercourses andor associated creeks caused by the development to the satisfaction of the DirectorGeneral.  ,2,0.4275
/home/admin/dockers/masters/data/pdfminer/search/DA309-11-2001-I-Mod-8.txt,2012,Compensatory Water Supply, The Applicant shall provide compensatory water supply to any landowner of privatelyowned land whose water entitlements are impacted other than an impact that is negligible as a result of the development in consultation with NoW and to the satisfaction of the DirectorGeneral.  ,2,0.4275
/home/admin/dockers/masters/data/pdfminer/search/DA309-11-2001-I-Mod-8.txt,2012,Compensatory Water Supply,The compensatory water supply measures must provide an alternative longterm supply of water that is equivalent to the loss attributed to the development.  ,2,1
/home/admin/dockers/masters/data/pdfminer/search/MP08_0102-Mod-1.txt,2012,Baseflow Offsets, The Proponent shall offset the loss of any baseflow to the surrounding watercourses andor associated creeks caused by the projects to the satisfaction of the DirectorGeneral.  ,2,0.4275
/home/admin/dockers/masters/data/pdfminer/search/MP08_0102-Mod-1.txt,2012,Compensatory Water Supply, The Proponent shall provide compensatory water supply to any landowner of privatelyowned land whose water entitlements are impacted other than an impact that is negligible as a result of the projects in consultation with NOW and to the satisfaction of the DirectorGeneral.  ,2,0.4275
/home/admin/dockers/masters/data/pdfminer/search/MP08_0102-Mod-1.txt,2012,Compensatory Water Supply,The compensatory water supply measures must provide an alternative longterm supply of water that is equivalent to the loss attributed to the project.  ,2,1
/home/admin/dockers/masters/data/pdfminer/search/MP10_0041-Mod-1.txt,2012,Baseflow Offsets, The Proponent shall offset the loss of any baseflow to the surrounding watercourses andor associated creeks caused by the project to the satisfaction of the DirectorGeneral.  ,2,0.4275
/home/admin/dockers/masters/data/pdfminer/search/MP10_0041-Mod-1.txt,2012,Compensatory Water Supply, The Proponent shall provide a compensatory water supply to any owner of privatelyowned land whose water entitlements are adversely impacted other than an impact that is negligible as a result of the project in consultation with NOW and to the satisfaction of the DirectorGeneral.  ,2,0.4275
/home/admin/dockers/masters/data/pdfminer/search/MP10_0041-Mod-1.txt,2012,Compensatory Water Supply,The compensatory water supply measures must provide an alternative longterm supply of water that is equivalent to the loss attributed to the project.  ,2,1
/home/admin/dockers/masters/data/pdfminer/search/MP08_0184-Mod-2.txt,2012,Baseflow Offsets, The Proponent shall offset the loss of any baseflow to the Goulburn and Talbragar Rivers caused by the project to the satisfaction of the DirectorGeneral.  ,2,0.4275
/home/admin/dockers/masters/data/pdfminer/search/MP08_0184-Mod-2.txt,2012,Baseflow Offsets,The offset should be effected by the retirement of water entitlements within the catchments of the Goulburn and Talbragar Rivers unless the Proponent can provide alternative means of offsetting baseflow to the satisfaction of the DirectorGeneral in which case the Proponent may offset any losses by those alternative means.      ,2,0.219375
/home/admin/dockers/masters/data/pdfminer/search/MP08_0184-Mod-2.txt,2012,Compensatory Water Supply, The Proponent shall provide a compensatory water supply to any owner of privatelyowned land whose supply is adversely impacted other than an impact that is negligible as a result of the project in consultation with NOW and to the satisfaction of the DirectorGeneral.  ,2,0.4275
/home/admin/dockers/masters/data/pdfminer/search/MP08_0184-Mod-2.txt,2012,Compensatory Water Supply,The compensatory water supply measures must provide an alternative longterm supply of water that is equivalent to the loss attributed to the project.  ,2,1
/home/admin/dockers/masters/data/pdfminer/search/DA309-11-2001-I-Mod-9.txt,2012,Baseflow Offsets, The Applicant shall offset the loss of any baseflow to the surrounding watercourses andor associated creeks caused by the development to the satisfaction of the DirectorGeneral.  ,2,0.4275
/home/admin/dockers/masters/data/pdfminer/search/DA309-11-2001-I-Mod-9.txt,2012,Compensatory Water Supply, The Applicant shall provide compensatory water supply to any landowner of privatelyowned land whose water entitlements are impacted other than an impact that is negligible as a result of the development in consultation with NoW and to the satisfaction of the DirectorGeneral.  ,2,0.4275
/home/admin/dockers/masters/data/pdfminer/search/DA309-11-2001-I-Mod-9.txt,2012,Compensatory Water Supply,The compensatory water supply measures must provide an alternative longterm supply of water that is equivalent to the loss attributed to the development.  ,2,1
/home/admin/dockers/masters/data/pdfminer/search/MP08_0102-Mod-3.txt,2012,Baseflow Offsets, The Proponent shall offset the loss of any baseflow to the surrounding watercourses andor associated creeks caused by the projects to the satisfaction of the DirectorGeneral.  ,2,0.4275
/home/admin/dockers/masters/data/pdfminer/search/MP08_0102-Mod-3.txt,2012,Compensatory Water Supply, The Proponent shall provide compensatory water supply to any landowner of privatelyowned land whose water entitlements are impacted other than an impact that is negligible as a result of the projects in consultation with NOW and to the satisfaction of the DirectorGeneral.  ,2,0.4275
/home/admin/dockers/masters/data/pdfminer/search/MP08_0102-Mod-3.txt,2012,Compensatory Water Supply,The compensatory water supply measures must provide an alternative longterm supply of water that is equivalent to the loss attributed to the project.  ,2,1
/home/admin/dockers/masters/data/pdfminer/search/MP10_0138.txt,2012,Compensatory Water Supply,The Proponent shall provide a compensatory water supply to any landowner of privatelyowned land whose water supply is adversely and directly impacted other than an impact that is negligible as a result of the project in consultation with DPIE Water and to the satisfaction of the Secretary. ,2,0.106875
/home/admin/dockers/masters/data/pdfminer/search/MP10_0138.txt,2012,Compensatory Water Supply,The compensatory water supply measures must provide an alternative longterm supply of water that is equivalent to the loss attributed to the project.  ,2,1
/home/admin/dockers/masters/data/pdfminer/search/DA309-11-2001-I-Mod-10.txt,2012,Baseflow Offsets, The Applicant shall offset the loss of any baseflow to the surrounding watercourses andor associated creeks caused by the development to the satisfaction of the DirectorGeneral.  ,2,0.4275
/home/admin/dockers/masters/data/pdfminer/search/DA309-11-2001-I-Mod-10.txt,2012,Compensatory Water Supply, The Applicant shall provide compensatory water supply to any landowner of privatelyowned land whose water entitlements are impacted other than an impact that is negligible as a result of the development in consultation with NoW and to the satisfaction of the DirectorGeneral.  ,2,0.4275
/home/admin/dockers/masters/data/pdfminer/search/DA309-11-2001-I-Mod-10.txt,2012,Compensatory Water Supply,The compensatory water supply measures must provide an alternative longterm supply of water that is equivalent to the loss attributed to the development.  ,2,1
/home/admin/dockers/masters/data/pdfminer/search/MP06_0261-Mod-2.txt,2012,Water Management Plan, The Proponent shall prepare and implement a Water Management Plan to the satisfaction of the DirectorGeneral. ,3,0.4275
/home/admin/dockers/masters/data/pdfminer/search/MP06_0261-Mod-2.txt,2012,Water Management Plan, mitigate andor offset any adverse impacts on groundwater dependent ecosystems or riparian vegetation and Hunter River Red Gum populations located within and adjacent to the site.  ,3,0
/home/admin/dockers/masters/data/pdfminer/search/MP08_0256-Mod-2.txt,2012,Water Management Plan, The Proponent shall prepare and implement a Water Management Plan for the project to the satisfaction of the DirectorGeneral. ,3,0.4275
/home/admin/dockers/masters/data/pdfminer/search/MP06_0202-Mod-2.txt,2012,Water Management Plan, The Proponent shall prepare and implement a Site Water Management Plan for the project to the satisfaction of the DirectorGeneral.  ,3,0.4275
/home/admin/dockers/masters/data/pdfminer/search/MP06_0202-Mod-2.txt,2012,Erosion and Sediment Control, The Erosion and Sediment Control Plan must a be consistent with the requirements of the Managing Urban Stormwater Soils and Construction Manual Landcom 2004 or its latest version b identify activities that could cause soil erosion and generate sediment c describe measures to minimise soil erosion and the potential for the transport of sediment to downstream waters d describe the location function and capacity of erosion and sediment control structures and e describe what measures would be implemented to maintain the structures over time.  ,3,1
/home/admin/dockers/masters/data/pdfminer/search/MP06_0202-Mod-2.txt,2012,Surface Water Monitoring, The Surface Water Management and Monitoring Plan must include a detailed baseline data on surface water flows and quality in creeks and other waterbodies that could be affected by the project b surface water impact assessment criteria c a program to monitor the impact of the project on surface water flows and quality and downstream water users and  d reporting procedures for the results of this monitoring.  ,3,0.7
/home/admin/dockers/masters/data/pdfminer/search/MP06_0202-Mod-2.txt,2012,Surface and Ground Water Response Plan, The Surface and Ground Water Response Plan must include a a protocol for the investigation notification and mitigation of any exceedances of the surface water and groundwater impact assessment criteria b measures to mitigate andor compensate potentially affected landowners with privately owned groundwater bores within the predicted drawdown impact zone identified in the EA including provision of alternative supply of water to the affected landowner that is equivalent to the loss attributed to the project c the procedures that would be followed if any unforeseen impacts are detected during the project.  ,3,0.7
/home/admin/dockers/masters/data/pdfminer/search/DA309-11-2001-I-Mod-8.txt,2012,Water Management Plan, The Applicant shall prepare and implement a Water Management Plan for the development to the satisfaction of the DirectorGeneral. ,3,0.4275
/home/admin/dockers/masters/data/pdfminer/search/DA309-11-2001-I-Mod-8.txt,2012,Water Management Plan, describe what measures would be implemented to maintain the structures over time. ,3,0
/home/admin/dockers/masters/data/pdfminer/search/MP08_0111-Mod-2.txt,2012,Site Water Management Plan, The Proponent shall prepare and implement a Site Water Management Plan for the mine complex to the satisfaction of the DirectorGeneral.  ,3,0.4275
/home/admin/dockers/masters/data/pdfminer/search/MP08_0102-Mod-1.txt,2012,Water Management Plan, The Proponent shall prepare and implement a Water Management Plan for the projects to the satisfaction of the DirectorGeneral. ,3,0.4275
/home/admin/dockers/masters/data/pdfminer/search/MP08_0102-Mod-1.txt,2012,Water Management Plan, measures to mitigate andor offset any adverse impacts on groundwater dependent ecosystems or riparian vegetation.  ,3,0
/home/admin/dockers/masters/data/pdfminer/search/MP07_0087-Mod-2.txt,2012,Water Management Plan, The Proponent shall prepare and implement a Water Management Plan for the project to the satisfaction of the DirectorGeneral. ,3,0.4275
/home/admin/dockers/masters/data/pdfminer/search/MP07_0087-Mod-2.txt,2012,Erosion and Sediment Control, Mines and Quarries manual OEH 2008 or its latest version b identify activities that could cause soil erosion and generate sediment c describe measures to minimise soil erosion and the potential for transport of sediment downstream d describe the location function and capacity of erosion and sediment control structures and e describe what measures would be implemented to maintain the structures over time.  ,3,0
/home/admin/dockers/masters/data/pdfminer/search/MP07_0087-Mod-2.txt,2012,Surface Water Monitoring, The Surface Water Monitoring Program must include a detailed baseline data on surface water flows and quality in creeks and other waterbodies that could potentially be affected by the project b surface water and stream health impact assessment criteria c a program to monitor the impact of the project on surface water flows water quality and stream health and d reporting procedures for the results of the monitoring program.  ,3,0.7
/home/admin/dockers/masters/data/pdfminer/search/MP07_0087-Mod-2.txt,2012,Groundwater Monitoring, The Groundwater Monitoring Program must include a further development of the regional and local groundwater model b detailed baseline data to benchmark the natural variation in groundwater levels yield and quality including at any privately owned bores in the vicinity of the site c groundwater impact assessment criteria d a program to monitor the impact of the project on groundwater levels yield quality groundwater dependent ecosystems and riparian vegetation e procedures for the verification of the groundwater model and f reporting procedures for the results of the monitoring program and model verification.  ,3,0.7
/home/admin/dockers/masters/data/pdfminer/search/MP07_0087-Mod-2.txt,2012,Groundwater Monitoring,Surface and Groundwater Response Plan  The Surface and Groundwater Response Plan must describe the measures andor procedures that would be implemented to a investigate notify and mitigate any exceedances of the surface water stream health and ground water impact assessment criteria b compensate landowners of privatelyowned land whose water supply is adversely affected by the project and c mitigate andor offset any adverse impacts on groundwater dependent ecosystems or riparian vegetation.    ,3,0.7
/home/admin/dockers/masters/data/pdfminer/search/MP10_0041-Mod-1.txt,2012,Baseline Water Monitoring Plan, The Proponent shall prepare and implement a Baseline Water Monitoring Plan for the project to the satisfaction of the DirectorGeneral. ,3,0.4275
/home/admin/dockers/masters/data/pdfminer/search/MP10_0041-Mod-1.txt,2012,Water Management Plan, The Proponent shall prepare and implement a Water Management Plan for the project to the satisfaction of the DirectorGeneral. ,3,0.4275
/home/admin/dockers/masters/data/pdfminer/search/MP10_0041-Mod-1.txt,2012,Water Management Plan, describes what measures would be implemented to minimise potable water use on site. ,3,0
/home/admin/dockers/masters/data/pdfminer/search/MP08_0184-Mod-2.txt,2012,Water Management Plan, The Proponent shall prepare and implement a Water Management Plan for the project to the satisfaction of the DirectorGeneral. ,3,0.4275
/home/admin/dockers/masters/data/pdfminer/search/MP08_0184-Mod-2.txt,2012,Water Management Plan,This plan must a be prepared in consultation with EPA NOW DRE and Council by suitably qualified and experienced persons whose appointment has been approved by the DirectorGeneral b be submitted to the DirectorGeneral for approval within 3 months of the date of final Orders being made by the Land and Environment Court in proceedings No. ,3,0.42
/home/admin/dockers/masters/data/pdfminer/search/DA309-11-2001-I-Mod-9.txt,2012,Water Management Plan, The Applicant shall prepare and implement a Water Management Plan for the development to the satisfaction of the DirectorGeneral. ,3,0.4275
/home/admin/dockers/masters/data/pdfminer/search/DA309-11-2001-I-Mod-9.txt,2012,Water Management Plan, describe what measures would be implemented to maintain the structures over time. ,3,0
/home/admin/dockers/masters/data/pdfminer/search/MP06_0014-Mod-4.txt,2012,Site Water Management Plan, The Proponent shall prepare and implement a Site Water Management Plan for the project to the satisfaction of the DirectorGeneral.  ,3,0.4275
/home/admin/dockers/masters/data/pdfminer/search/MP06_0014-Mod-4.txt,2012,Site Water Management Plan, a Surface and Ground Water Response Plan.  ,3,0
/home/admin/dockers/masters/data/pdfminer/search/MP06_0014-Mod-4.txt,2012,Site Water Balance, reporting procedures and b investigate and describe measures to minimise water use by the project.  ,3,0.7
/home/admin/dockers/masters/data/pdfminer/search/MP06_0014-Mod-4.txt,2012,Site Water Balance,3 Deleted.  ,3,0
/home/admin/dockers/masters/data/pdfminer/search/MP06_0014-Mod-4.txt,2012,Erosion and Sediment Control, The Erosion and Sediment Control Plan must a be consistent with the requirements of the Department of Housings Managing Urban Stormwater Soils and Construction manual b identify activities that could cause soil erosion and generate sediment c describe measures to minimise soil erosion and the potential for the transport of sediment to downstream waters d describe the location function and capacity of erosion and sediment control structures and e describe what measures would be implemented to maintain the structures over time.  ,3,1
/home/admin/dockers/masters/data/pdfminer/search/MP06_0014-Mod-4.txt,2012,Surface Water Monitoring, The Surface Water Management and Monitoring Plan must include a detailed baseline data on surface water flows and quality in creeks and other waterbodies that could potentially be affected by the project b surface water and stream health impact assessment criteria c a program to monitor surface water flows quality and impacts on water users upstream and downstream of the project in Anvil Creek Sandy Creek Big Flat Creek and Wybong Creek d a program to assess stream health conditions in Anvil Creek Sandy Creek Big Flat Creek and Wybong Creek  e a program to monitor channel stability in Anvil Creek Sandy Creek and Big Flat Creek and f reporting procedures for the results of the monitoring program.  ,3,0.7
/home/admin/dockers/masters/data/pdfminer/search/MP06_0014-Mod-4.txt,2012,Groundwater Monitoring, the groundwater pressure response in the surrounding coal measures e procedures for the verification of the groundwater model and f reporting procedures for the results of the monitoring program and model verification.   ,3,0.7
/home/admin/dockers/masters/data/pdfminer/search/MP06_0014-Mod-4.txt,2012,Surface and Ground Water Response Plan, The Surface and Ground Water Response Plan must include a a protocol for the investigation notification and mitigation of any exceedances of the surface water stream health and groundwater impact assessment criteria b measures to mitigate andor compensate potentially affected landowners with privately owned groundwater bores within the predicted drawdown impact zone identified in the EA including provision of alternative supply of water to the affected landowner that is equivalent to the loss attributed to the project c measures to mitigate andor compensate potentially affected landowners for the loss of surface water flows in Sandy Creek Big Flat Creek and Wybong Creek downstream of the project d measures to minimise prevent or offset groundwater leakage from the Big Flat Creek alluvial aquifer e measures to mitigate any direct hydraulic connection between the backfilled open cuts and the Big Flat Creek alluvium if the potential for adverse impacts is detected   f a contingency plan for isolating the Big Flat Creek alluvium from Anvil Creek alluvium and mining areas in the event that it is required and g the procedures that would be followed if any unforeseen impacts are detected during the project.  ,3,0.7
/home/admin/dockers/masters/data/pdfminer/search/MP05_0021-Mod-4.txt,2012,Site Water Management Plan, The Proponent shall prepare and implement a Site Water Management Plan for the project to the satisfaction of the DirectorGeneral. ,3,0.4275
/home/admin/dockers/masters/data/pdfminer/search/MP05_0021-Mod-4.txt,2012,Cumbo Creek Relocation Plan, The Cumbo Creek Relocation Plan must include a a vision statement for the creek relocation b an assessment of the water quality ecological hydrological and geomorphic baseline conditions in Cumbo Creek c the detailed design and specifications for the creek relocation d a construction program for the creek relocation describing how the work would be staged and integrated with mining operations e a revegetation program for the relocated creek using a range of suitable native species f water quality ecological hydrological and geomorphic performance and completion criteria for the creek relocation based on the assessment of baseline conditions and g a program to monitor and maintain the water quality ecological hydrological and geomorphic integrity of the creek relocation.  ,3,0.7
/home/admin/dockers/masters/data/pdfminer/search/MP05_0021-Mod-4.txt,2012,Erosion and Sediment Control, The Erosion and Sediment Control Plan must a be consistent with the requirements of the Department of Housings Managing Urban Stormwater Soils and Construction manual b identify activities that could cause soil erosion and generate sediment c describe measures to minimise soil erosion and the potential for the transport of sediment to downstream waters d describe the location function and capacity of erosion and sediment control structures and e describe what measures would be implemented to maintain the structures over time.  ,3,1
/home/admin/dockers/masters/data/pdfminer/search/MP05_0021-Mod-4.txt,2012,Surface Water Management and Monitoring, The Surface Water Management and Monitoring Plan must include a detailed baseline data on surface water flows and quality in creeks and other waterbodies that could potentially be affected by the project b surface water and stream health assessment criteria c a program to monitor surface water flows quality and impacts on water users upstream and downstream of the project in Wilpinjong and Cumbo Creeks d a program to assess stream health conditions in Wilpinjong and Cumbo Creeks  e a program to monitor channel stability in Wilpinjong and Cumbo Creeks  f reporting procedures and g a protocol for the investigation notification and mitigation of identified exceedances of the surface water and stream health assessment criteria.  ,3,0.7
/home/admin/dockers/masters/data/pdfminer/search/MP05_0021-Mod-4.txt,2012,Surface and Ground Water Response Plan, The Surface and Ground Water Response Plan must include a a protocol for the investigation notification and mitigation of any exceedances of the surface water stream health and groundwater impact assessment criteria b measures to mitigate andor compensate potentially affected landowners with privately owned groundwater bores within the predicted drawdown impact zone identified in the EA including provision of alternative long term supply of water to the affected landowner that is equivalent to the loss attributed to the project c measures to mitigate andor compensate potentially affected landowners for the loss of surface water flows in Wilpinjong Creek downstream of the open cut d measures to minimise prevent or offset groundwater leakage from the Wilpinjong Creek alluvial aquifer if the rate of leakage exceeds EA predictions  e measures to mitigate any direct hydraulic connection between the backfilled open cut and the Wilpinjong Creek and Cumbo Creek alluvium if the potential for adverse impacts is detected and f the procedures that would be followed if any unforeseen impacts are detected during the project.  ,3,0.7
/home/admin/dockers/masters/data/pdfminer/search/MP05_0021-Mod-4.txt,2012,Surface and Ground Water Response Plan,Within 6 months of the Independent Environmental Audit see condition 7 in schedule 5 the Proponent shall update the Site Water Management Plan to the satisfaction of the DirectorGeneral.  ,3,0.4275
/home/admin/dockers/masters/data/pdfminer/search/MP10_0059-Mod-1.txt,2012,Water Management Plan, The Proponent shall prepare and implement a Water Management Plan for the project to the satisfaction of the DirectorGeneral. ,3,0.4275
/home/admin/dockers/masters/data/pdfminer/search/MP08_0102-Mod-3.txt,2012,Water Management Plan, The Proponent shall prepare and implement a Water Management Plan for the projects to the satisfaction of the DirectorGeneral. ,3,0.4275
/home/admin/dockers/masters/data/pdfminer/search/MP10_0138.txt,2012,Water Management Plan,The Proponent shall prepare and implement a Water Management Plan for the project to the satisfaction of the Secretary.  ,3,0.4275
/home/admin/dockers/masters/data/pdfminer/search/MP10_0138.txt,2012,Water Management Plan,This plan must be prepared in consultation with BCD DPIE Water and North West LLS by suitably qualified and experienced persons whose appointment has been approved by the Secretary and be submitted to the Secretary for approval prior to the commencement of construction.  ,3,0.357
/home/admin/dockers/masters/data/pdfminer/search/MP06_0311-Mod-1.txt,2012,Water Management Plan, The Proponent shall prepare and implement a Water Management Plan for the project to the satisfaction of the DirectorGeneral. ,3,0.4275
/home/admin/dockers/masters/data/pdfminer/search/MP06_0311-Mod-1.txt,2012,Erosion and Sediment Control, The Erosion and Sediment Control Plan must a be consistent with the requirements of Managing Urban Stormwater Soils and Construction Landcom 2004 or its latest version b identify activities that could cause soil erosion and generate sediment c describe measures to minimise soil erosion and the potential for transport of sediment from the site d describe the location function and capacity of erosion and sediment control structures and e describe what measures would be implemented to monitor and maintain the structures over time. ,3,1
/home/admin/dockers/masters/data/pdfminer/search/MP06_0311-Mod-1.txt,2012,Erosion and Sediment Control,Surface Water Monitoring Program  The Surface Water Monitoring Plan must include a detailed baseline data on surface water flows and quality in creeks and other waterbodies that could be affected by the project b surface water impact assessment criteria c a program to monitor the impact of the project on surface water flows and quality and d procedures for reporting the results of this monitoring.    ,3,0.7
/home/admin/dockers/masters/data/pdfminer/search/MP06_0311-Mod-1.txt,2012,Groundwater Monitoring Program, The Groundwater Monitoring Program must include a detailed baseline data to benchmark the natural variation in groundwater levels yield and quality b groundwater impact assessment criteria c a program to monitor the impact of the project on groundwater levels yield and quality and  d procedures for reporting the results of this monitoring.  ,3,0.7
/home/admin/dockers/masters/data/pdfminer/search/MP06_0311-Mod-1.txt,2012,Groundwater Monitoring Program,LANDSCAPE  Rehabilitation  The Proponent shall rehabilitate the site to the satisfaction of the DirectorGeneral and DRE.  ,3,0.4275
/home/admin/dockers/masters/data/pdfminer/search/MP06_0261-Mod-4.txt,2012,Water Management Plan, The Proponent shall prepare and implement a Water Management Plan to the satisfaction of the DirectorGeneral. ,3,0.4275
/home/admin/dockers/masters/data/pdfminer/search/DA309-11-2001-I-Mod-10.txt,2012,Water Management Plan, The Applicant shall prepare and implement a Water Management Plan for the development to the satisfaction of the DirectorGeneral. ,3,0.4275
/home/admin/dockers/masters/data/pdfminer/search/DA309-11-2001-I-Mod-10.txt,2012,Water Management Plan, describe what measures would be implemented to maintain the structures over time. ,3,0
/home/admin/dockers/masters/data/pdfminer/search/MP06_0261-Mod-2.txt,2012,Protection of Watercourses, The Proponent shall a ensure mining operations do not interfere with the stability of the Hunter River Wollombi Brook and creek lines located outside the area of mining operations and b retain a buffer zone of 150 metres or less if agreed by the DirectorGeneral following consultation with NOW from the edge of open cut pits and the high bank of the Hunter River and its connected alluvium excepting the area of the site adjacent to the Hobden Gully levee.  ,4,0.4275
/home/admin/dockers/masters/data/pdfminer/search/DA309-11-2001-I-Mod-8.txt,2012,Water Supply, The Applicant shall ensure that it has sufficient water for all stages of the development and if necessary adjust the scale of mining operations to match its water supply.  ,4,0.2375
/home/admin/dockers/masters/data/pdfminer/search/DA309-11-2001-I-Mod-8.txt,2012,Bowmans Creek � Eastern and Western Diversions, The Applicant shall construct manage and maintain the eastern and western diversions of Bowmans Creek in the underground mining area to the satisfaction of the DirectorGeneral.       ,4,0.4275
/home/admin/dockers/masters/data/pdfminer/search/DA309-11-2001-I-Mod-8.txt,2012,Bowmans Creek � Eastern and Western Diversions,Within 6 months of completing the construction of the diversions the Applicant shall submit an asexecuted report certified by a practising engineer to the DirectorGeneral and to NoW.  ,4,0.665
/home/admin/dockers/masters/data/pdfminer/search/MP08_0102-Mod-1.txt,2012,Water Supply, The Proponent shall ensure that it has sufficient water for all stages of the projects and if necessary adjust the scale of mining operations to match its water supply.  ,4,0.2375
/home/admin/dockers/masters/data/pdfminer/search/MP08_0102-Mod-1.txt,2012,Glennies Creek and Station Creek Alluvial Aquifers, The Proponent shall not undertake any open cut mining operations within 150 metres of the Glennies Creek alluvial aquifer or Station Creek alluvial aquifer without the prior written approval of the DirectorGeneral. ,4,0.4845
/home/admin/dockers/masters/data/pdfminer/search/MP08_0102-Mod-1.txt,2012,Glennies Creek and Station Creek Alluvial Aquifers,In seeking this approval the Proponent must consult with NOW and demonstrate to the satisfaction of the DirectorGeneral that adequate safeguards have been incorporated into the Surface and Groundwater Response Plan see below to minimise prevent andor adequately offset groundwater leakage from the alluvial aquifers.  ,4,0.27
/home/admin/dockers/masters/data/pdfminer/search/MP08_0102-Mod-1.txt,2012,Xstrata Mt Owen Bettys Creek Diversions, within 6 months of completing the second workings under these creek diversions and b provide a copy of these surveys to the Department within a month of the completion of each survey.  ,4,0
/home/admin/dockers/masters/data/pdfminer/search/MP08_0184-Mod-2.txt,2012,Remediation of the Goulbourn River Diversion, The Proponent shall remediate the Goulburn River Diversion to the satisfaction of the DirectorGeneral in general accordance with the proposed strategy in the EA.  ,4,0.38475
/home/admin/dockers/masters/data/pdfminer/search/DA309-11-2001-I-Mod-9.txt,2012,Water Supply, The Applicant shall ensure that it has sufficient water for all stages of the development and if necessary adjust the scale of mining operations to match its water supply.  ,4,0.2375
